title,reviews_link
Peppermint,https://www.imdb.com/title/tt6850820/reviews?ref_=tt_urv
Blockers,https://www.imdb.com/title/tt2531344/reviews?ref_=tt_urv
BlacKkKlansman,https://www.imdb.com/title/tt7349662/reviews?ref_=tt_urv
Upgrade,https://www.imdb.com/title/tt6499752/reviews?ref_=tt_urv
Mile 22,https://www.imdb.com/title/tt4560436/reviews?ref_=tt_urv
Slender Man,https://www.imdb.com/title/tt5690360/reviews?ref_=tt_urv
The House with a Clock in Its Walls,https://www.imdb.com/title/tt2119543/reviews?ref_=tt_urv
Smallfoot,https://www.imdb.com/title/tt6182908/reviews?ref_=tt_urv
The Girl in the Spider's Web,https://www.imdb.com/title/tt5177088/reviews?ref_=tt_urv
Night School,https://www.imdb.com/title/tt6781982/reviews?ref_=tt_urv
The Darkest Minds,https://www.imdb.com/title/tt4073790/reviews?ref_=tt_urv
Arizona,https://www.imdb.com/title/tt2140629/reviews?ref_=tt_urv
A Star Is Born,https://www.imdb.com/title/tt1517451/reviews?ref_=tt_urv
Mowgli: Legend of the Jungle,https://www.imdb.com/title/tt2388771/reviews?ref_=tt_urv
Final Score,https://www.imdb.com/title/tt5254610/reviews?ref_=tt_urv
Blindspotting,https://www.imdb.com/title/tt7242142/reviews?ref_=tt_urv
A Simple Favor,https://www.imdb.com/title/tt7040874/reviews?ref_=tt_urv
The Christmas Chronicles,https://www.imdb.com/title/tt2990140/reviews?ref_=tt_urv
Bird Box,https://www.imdb.com/title/tt2737304/reviews?ref_=tt_urv
Summer '03,https://www.imdb.com/title/tt7284204/reviews?ref_=tt_urv
Gosnell: The Trial of America's Biggest Serial Killer,https://www.imdb.com/title/tt3722234/reviews?ref_=tt_urv
Blade Runner 2049,https://www.imdb.com/title/tt1856101/reviews?ref_=tt_urv
Twin Peaks,https://www.imdb.com/title/tt4093826/reviews?ref_=tt_urv
Dunkirk,https://www.imdb.com/title/tt5013056/reviews?ref_=tt_urv
Phantom Thread,https://www.imdb.com/title/tt5776858/reviews?ref_=tt_urv
The Killing of a Sacred Deer,https://www.imdb.com/title/tt5715874/reviews?ref_=tt_urv
A Ghost Story,https://www.imdb.com/title/tt6265828/reviews?ref_=tt_urv
The Shape of Water,https://www.imdb.com/title/tt5580390/reviews?ref_=tt_urv
Get Out,https://www.imdb.com/title/tt5052448/reviews?ref_=tt_urv
"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/reviews?ref_=tt_urv
Call Me by Your Name,https://www.imdb.com/title/tt5726616/reviews?ref_=tt_urv
Wind River,https://www.imdb.com/title/tt5362988/reviews?ref_=tt_urv
Mindhunter,https://www.imdb.com/title/tt5290382/reviews?ref_=tt_urv
The Dawn Wall,https://www.imdb.com/title/tt7286916/reviews?ref_=tt_urv
Star Wars: Episode VIII - The Last Jedi,https://www.imdb.com/title/tt2527336/reviews?ref_=tt_urv
War for the Planet of the Apes,https://www.imdb.com/title/tt3450958/reviews?ref_=tt_urv
Baby Driver,https://www.imdb.com/title/tt3890160/reviews?ref_=tt_urv
Lady Bird,https://www.imdb.com/title/tt4925292/reviews?ref_=tt_urv
Coco,https://www.imdb.com/title/tt2380307/reviews?ref_=tt_urv
The Handmaid's Tale,https://www.imdb.com/title/tt5834204/reviews?ref_=tt_urv
Loveless,https://www.imdb.com/title/tt6304162/reviews?ref_=tt_urv
Good Time,https://www.imdb.com/title/tt4846232/reviews?ref_=tt_urv
Black Mirror,https://www.imdb.com/title/tt2085059/reviews?ref_=tt_urv
It Comes at Night,https://www.imdb.com/title/tt4695012/reviews?ref_=tt_urv
World of Tomorrow Episode Two: The Burden of Other People's Thoughts,https://www.imdb.com/title/tt7278178/reviews?ref_=tt_urv
Mother!,https://www.imdb.com/title/tt5109784/reviews?ref_=tt_urv
Wonder Woman,https://www.imdb.com/title/tt0451279/reviews?ref_=tt_urv
Battle of the Sexes,https://www.imdb.com/title/tt4622512/reviews?ref_=tt_urv
Thelma,https://www.imdb.com/title/tt6304046/reviews?ref_=tt_urv
Jane,https://www.imdb.com/title/tt7207238/reviews?ref_=tt_urv
Hostiles,https://www.imdb.com/title/tt5478478/reviews?ref_=tt_urv
Mudbound,https://www.imdb.com/title/tt2396589/reviews?ref_=tt_urv
Game of Thrones,https://www.imdb.com/title/tt0944947/reviews?ref_=tt_urv
Detroit,https://www.imdb.com/title/tt5390504/reviews?ref_=tt_urv
Logan,https://www.imdb.com/title/tt3315342/reviews?ref_=tt_urv
